Panel,top_n,cell line,num_observation,cindex
Prostate,35159,DU-145 ,35159,0.610154767729
Prostate,15000,DU-145 ,15000,0.562597777358
Prostate,1000,DU-145 ,1000,0.660205451956
Prostate,500,DU-145 ,500,0.660125442965
Prostate,100,DU-145 ,100,0.4998982706
Prostate,50,DU-145 ,50,0.50737704918
Prostate,10,DU-145 ,10,0.311111111111
Prostate,35238,PC-3 ,35238,0.612499741192
Prostate,15000,PC-3 ,15000,0.558364396281
Prostate,1000,PC-3 ,1000,0.641178114709
Prostate,500,PC-3 ,500,0.654111132574
Prostate,100,PC-3 ,100,0.527563842724
Prostate,50,PC-3 ,50,0.530278232406
Prostate,10,PC-3 ,10,0.4
